tier,chainID,linkID,source,goal,focus,dead,tilt,sourceClickTime,sourceGoalTime
1,2,6,4263,4269,0,0,0,98.40,99.65
1,2,7,4269,4274,0,0,0,99.65,99.65
1,2,8,4274,4287,0,0,0,99.65,99.65
1,2,9,4287,-1,0,0,0,99.65,-1
1,3,10,4266,4270,0,0,0,108.43,111.65
1,3,11,4270,4277,0,0,0,111.65,112.88
1,3,12,4277,4288,0,0,0,112.88,114.06
1,3,13,4288,-1,0,0,0,114.06,-1
1,4,14,4265,-1,0,0,0,155.13,-1
1,5,15,4265,4271,0,0,2,219.60,221.06
1,5,16,4271,4276,0,0,2,221.06,221.86
1,5,17,4276,-1,0,0,0,221.86,-1
1,6,18,4267,4272,0,0,2,231.13,232.03
1,6,19,4272,4278,0,0,2,232.03,233.04
1,6,20,4278,4289,0,0,0,233.04,233.69
1,6,21,4289,-1,0,0,0,233.69,-1
1,7,22,4268,4273,0,0,10,256.60,257.83
1,7,23,4273,4286,0,0,10,257.83,259.72
1,7,24,4286,4297,0,0,0,259.72,260.60
1,7,25,4297,4311,0,0,0,260.60,261.97
1,7,26,4311,-1,0,0,0,261.97,-1
1,8,27,4285,4292,0,0,0,266.48,267.73
1,8,28,4292,4308,0,0,0,267.73,268.78
1,8,29,4308,-1,0,0,0,268.78,-1
1,9,30,4293,4309,0,0,0,289.52,290.44
1,9,31,4309,-1,0,0,0,290.44,-1
1,10,32,4294,4310,0,0,0,297.30,300.54
1,10,33,4310,4295,0,0,1,300.54,305.02
1,10,34,4295,4296,0,0,1,305.02,305.93
1,10,35,4296,-1,0,0,0,305.93,-1
1,11,36,4282,4291,0,0,0,330.08,331.19
1,11,37,4291,4307,0,0,0,331.19,332.66
1,11,38,4307,-1,0,0,0,332.66,-1
1,12,39,4279,4290,0,0,0,397.60,398.55
1,12,40,4290,4305,0,0,0,398.55,400.17
1,12,41,4305,-1,0,0,0,400.17,-1
1,13,42,4281,4318,0,0,0,402.38,403.35
1,13,43,4318,4319,0,0,0,403.35,404.25
1,13,44,4319,-1,0,0,0,404.25,-1
3,1,1,723,724,0,0,0,65.63,67.12
3,1,2,724,725,0,0,0,67.12,68.05
3,1,3,725,726,0,0,0,68.05,69.65
3,1,4,726,729,0,0,0,69.65,71.30
3,1,5,729,-1,0,0,0,71.30,-1